SongID,Performer.x,Song.x,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,url,WeekID,Week.Position,Song.y,Performer.y,Instance,Previous.Week.Position,Peak.Position,Weeks.on.Chart,genrez,date2,year,month,rock_genrez,weeks_chart,position_peak,year2,weeks_chart2,position_peak2,performer,song
We Didn't Start The FireBilly Joel,Billy Joel,We Didn't Start The Fire,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",3Cx4yrFaX8CeHwBMReOWXI,https://p.scdn.co/mp3-preview/84365368ace21bc568ed0d9b0b18669a58963297?cid=b8d3901151d34489a160e3cf0ab1fa94,Storm Front,FALSE,287733,74,0.712,0.967,7,-5.206,1,0.047,0.0771,0,0.356,0.895,145.024,4,http://www.billboard.com/charts/hot-100/1989-11-04,11/4/1989,21,We Didn't Start The Fire,Billy Joel,1,28,21,4,rock,1989-11-04,1989,11,classic,4,21,1989,4,21,Billy Joel,We Didn't Start The Fire
Walk Of LifeDire Straits,Dire Straits,Walk Of Life,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",423o3ZHIaBtGXyhF1uH41a,https://p.scdn.co/mp3-preview/0dcbcd3569d83da11c35c1f91532335b3d5daa78?cid=b8d3901151d34489a160e3cf0ab1fa94,Brothers in Arms,FALSE,252466,62,0.461,0.936,4,-6.866,1,0.109,0.435,9.13e-5,0.124,0.804,172.404,4,http://www.billboard.com/charts/hot-100/1985-12-21,12/21/1985,14,Walk Of Life,Dire Straits,1,18,14,8,rock,1985-12-21,1985,12,classic,8,14,1985,8,14,Dire Straits,Walk Of Life
Two Out Of Three Ain't BadMeat Loaf,Meat Loaf,Two Out Of Three Ain't Bad,"['album rock', 'mellow gold', 'rock', 'soft rock']",2ph0hzV1kCVhR82E2La4q5,https://p.scdn.co/mp3-preview/8d36180f2f4973ff577795f4efc98353fee67e71?cid=b8d3901151d34489a160e3cf0ab1fa94,Bat Out Of Hell,FALSE,324440,61,0.586,0.48,9,-9.138,1,0.0243,0.385,0,0.0947,0.488,79.873,4,http://www.billboard.com/charts/hot-100/1978-03-18,3/18/1978,90,Two Out Of Three Ain't Bad,Meat Loaf,1,NA,90,1,rock,1978-03-18,1978,3,soft rock,1,90,1978,1,90,Meat Loaf,Two Out Of Three Ain't Bad
Can't Stop Loving YouPhil Collins,Phil Collins,Can't Stop Loving You,"['mellow gold', 'soft rock']",2W6PNGCN4PGwPMf1jYazL4,https://p.scdn.co/mp3-preview/e3fef8a12b74ae9fbef4a1b22c6ce2dd913be7a1?cid=b8d3901151d34489a160e3cf0ab1fa94,Testify (Deluxe Edition),FALSE,256453,63,0.604,0.778,0,-5.686,1,0.0259,0.00726,1.33e-5,0.114,0.419,100.155,4,http://www.billboard.com/charts/hot-100/2003-04-26,4/26/2003,85,Can't Stop Loving You,Phil Collins,1,76,76,13,rock,2003-04-26,2003,4,soft rock,13,76,2003,13,76,Phil Collins,Can't Stop Loving You
The Big MoneyRush,Rush,The Big Money,"['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock']",4f6CJbnASHEtQspSwqoYlr,NA,Power Windows,FALSE,334493,42,0.462,0.96,9,-5.966,1,0.0835,0.129,0.0357,0.142,0.454,145.475,4,http://www.billboard.com/charts/hot-100/1985-11-23,11/23/1985,73,The Big Money,Rush,1,75,73,3,rock,1985-11-23,1985,11,metal,3,73,1985,3,73,Rush,The Big Money
Another Saturday NightCat Stevens,Cat Stevens,Another Saturday Night,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",3ekij6XVw1F5dFX9oLvNU0,NA,Greatest Hits,FALSE,150360,33,0.75,0.856,5,-7.059,1,0.131,0.596,6.48e-6,0.0514,0.964,140.011,4,http://www.billboard.com/charts/hot-100/1974-09-28,9/28/1974,8,Another Saturday Night,Cat Stevens,1,11,8,9,rock,1974-09-28,1974,9,british,9,8,1974,9,8,Cat Stevens,Another Saturday Night
Fly AwayBlackfoot,Blackfoot,Fly Away,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'native american', 'rock', 'southern rock']",5TN7RTbTATxPfhQLsZv92R,https://p.scdn.co/mp3-preview/6f11720334e799068609d7724eead39d669f8344?cid=b8d3901151d34489a160e3cf0ab1fa94,Marauder,FALSE,177826,25,0.558,0.781,0,-8.799,1,0.0543,0.113,0,0.535,0.806,135.018,4,http://www.billboard.com/charts/hot-100/1981-08-22,8/22/1981,67,Fly Away,Blackfoot,1,42,42,10,rock,1981-08-22,1981,8,blues,10,42,1981,10,42,Blackfoot,Fly Away
I'm In YouPeter Frampton,Peter Frampton,I'm In You,"['album rock', 'art rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'symphonic rock']",03zB9duFz1JqLxAIYvGdac,NA,I'm In You,FALSE,250000,46,0.329,0.499,0,-7.235,1,0.0274,0.173,8.09e-6,0.124,0.164,98.533,4,http://www.billboard.com/charts/hot-100/1977-06-25,6/25/1977,18,I'm In You,Peter Frampton,1,25,18,5,rock,1977-06-25,1977,6,blues,5,18,1977,5,18,Peter Frampton,I'm In You
Say It Isn't SoDaryl Hall John Oates,Daryl Hall John Oates,Say It Isn't So,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",2bZswvNGESo7MKeg7SQ9rp,https://p.scdn.co/mp3-preview/50dcdca9dfb6d1da4a03fb427033d6066d70a561?cid=b8d3901151d34489a160e3cf0ab1fa94,The Very Best of Daryl Hall / John Oates,FALSE,257466,47,0.769,0.595,4,-11.796,0,0.028,0.0588,0,0.18,0.969,113.971,4,http://www.billboard.com/charts/hot-100/1984-02-11,2/11/1984,48,Say It Isn't So,Daryl Hall John Oates,1,28,2,16,rock,1984-02-11,1984,2,classic,16,2,1984,16,2,Daryl Hall John Oates,Say It Isn't So
I Can't Drive 55Sammy Hagar,Sammy Hagar,I Can't Drive 55,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'metal', 'rock', 'soft rock']",1MqGKtY9L5qjPi8s7gX645,NA,Voa,FALSE,254466,58,0.531,0.625,9,-12.335,1,0.0319,0.0043,4.34e-5,0.0894,0.882,133.763,4,http://www.billboard.com/charts/hot-100/1984-11-24,11/24/1984,26,I Can't Drive 55,Sammy Hagar,1,27,26,9,rock,1984-11-24,1984,11,metal,9,26,1984,9,26,Sammy Hagar,I Can't Drive 55
